iter	Logloss
0	0.6426546276
1	0.6030510382
2	0.5717907699
3	0.5477839392
4	0.5294715336
5	0.5152550564
6	0.5032397744
7	0.4942902221
8	0.4866744281
9	0.4805855316
10	0.4756196688
11	0.4716575529
12	0.4685940579
13	0.4660390005
14	0.4637861838
15	0.4620487497
16	0.4606818747
17	0.4595001327
18	0.4584904436
19	0.4575564769
20	0.4566839517
21	0.4560629132
22	0.4555046822
23	0.4548074805
24	0.4541794983
25	0.4536094112
26	0.4531920009
27	0.4527995575
28	0.4524482347
29	0.4521378386
30	0.4519115192
31	0.4515983562
32	0.4513576916
33	0.451059748
34	0.4508876749
35	0.450641433
36	0.4504336524
37	0.4502444604
38	0.4500750662
39	0.449909442
40	0.4497447218
41	0.4495997502
42	0.4494499654
43	0.44936084
44	0.449254211
45	0.4491481042
46	0.449017666
47	0.4489203699
48	0.448809739
49	0.4487232274
50	0.4486179112
51	0.4485103803
52	0.4484123009
53	0.4482921915
54	0.4482019322
55	0.4481282109
56	0.4480453856
57	0.4480022853
58	0.4479284456
59	0.4478701186
60	0.4477814574
61	0.4476957888
62	0.4476246659
63	0.4475642311
64	0.4475093439
65	0.4474524414
66	0.4473973967
67	0.4473060642
68	0.4472464145
69	0.447208407
70	0.4471383812
71	0.4470601811
72	0.4470155525
73	0.4469575666
74	0.4469013119
75	0.4468485546
76	0.4467951119
77	0.4467131471
78	0.4466613592
79	0.4466087742
80	0.4465524319
81	0.446505
82	0.4464647543
