iter	Passed	Remaining
0	739	1477940
1	1176	1175262
2	1673	1114168
3	2225	1110647
4	2667	1064345
5	3206	1065494
6	3640	1036416
7	4247	1057631
8	4689	1037376
9	5204	1035768
10	5712	1032869
11	6265	1037967
12	6760	1033299
13	7334	1040510
14	7831	1036426
15	8313	1030851
16	8849	1032305
17	9409	1036132
18	9771	1018814
19	10360	1025715
20	10857	1023165
21	11272	1013485
22	11745	1009584
23	12284	1011455
24	12830	1013635
25	13463	1022172
26	14137	1033091
27	14538	1023920
28	15043	1022437
29	15685	1029997
30	16136	1024941
31	16613	1021753
32	17230	1027043
33	17905	1035384
34	18424	1034407
35	18884	1030230
36	19557	1037617
37	20203	1043154
38	20676	1039677
39	21112	1034507
40	21772	1040316
41	22414	1044938
42	22838	1039410
43	23418	1041071
44	23977	1041700
45	24454	1038770
46	25058	1041273
47	25595	1040888
48	26136	1040644
49	26717	1041977
50	27300	1043291
51	27960	1047439
52	28525	1047907
53	29040	1046519
54	29675	1049428
55	30147	1046549
56	30774	1049040
57	31313	1048451
58	31711	1043261
59	32182	1040559
60	32782	1042038
61	33287	1040507
62	33861	1041117
63	34346	1038993
64	34820	1036587
65	35367	1036371
66	35952	1037261
67	36515	1037468
68	37091	1038027
69	37725	1040134
70	38292	1040373
71	38785	1038595
72	39306	1037583
73	39964	1040155
74	40531	1040309
75	41024	1038560
76	41494	1036285
77	41970	1034205
78	42505	1033572
79	43026	1032628
80	43580	1032491
81	44312	1036471
82	44847	1035815
